"","id","adp"
"1","8658","5.49"
"2","9988","5.99"
"3","11201","6.06"
"4","10695","9.3"
"5","10271","11.28"
"6","11679","11.6"
"7","8670","12.15"
"8","9884","12.41"
"9","9902","12.86"
"10","7836","13.13"
"11","11454","16.38"
"12","8657","16.72"
"13","10302","17.25"
"14","9122","17.3"
"15","10261","19.74"
"16","10308","20.23"
"17","11654","20.35"
"18","9448","22.42"
"19","10729","25"
"20","11671","29.54"
"21","11674","30.05"
"22","10708","33.42"
"23","11232","34.08"
"24","10272","34.51"
"25","9918","35"
"26","11676","35.85"
"27","10703","39.59"
"28","7877","40.01"
"29","3291","40.48"
"30","12175","45.2"
"31","10870","46.07"
"32","11390","46.73"
"33","4925","47.43"
"34","9831","48.36"
"35","9662","49.67"
"36","7401","50.3"
"37","6931","51.42"
"38","8687","53.7"
"39","12150","55.18"
"40","11244","55.69"
"41","11670","55.95"
"42","11200","56.71"
"43","9436","57.27"
"44","11175","57.37"
"45","12155","57.92"
"46","11680","58.4"
"47","10773","60.42"
"48","9099","62.7"
"49","8360","62.86"
"50","11675","63.53"
"51","9101","63.91"
"52","12153","65.22"
"53","10709","68.93"
"54","9075","69.58"
"55","5848","69.74"
"56","9822","71.18"
"57","10768","71.86"
"58","11688","72.12"
"59","11678","72.87"
"60","12181","73.69"
"61","9431","76.03"
"62","11193","78.76"
"63","10273","84.61"
"64","10077","85.69"
"65","10697","85.93"
"66","9525","86.28"
"67","11728","87.89"
"68","0515","88.52"
"69","11409","90.07"
"70","6997","90.4"
"71","10048","90.83"
"72","7393","92.17"
"73","10372","92.44"
"74","10352","93.88"
"75","12152","94.07"
"76","10775","94.51"
"77","7839","98.63"
"78","7391","99.17"
"79","9680","99.33"
"80","11783","99.39"
"81","11668","99.52"
"82","9840","102.27"
"83","11247","102.53"
"84","7394","103.49"
"85","10277","103.66"
"86","9817","104.54"
"87","0501","105.14"
"88","10303","106.74"
"89","0532","107.78"
"90","10289","108.09"
"91","10753","108.49"
"92","9881","109.72"
"93","10721","111.2"
"94","9851","112.44"
"95","10783","113.66"
"96","11660","114.34"
"97","11250","114.61"
"98","8416","115.33"
"99","11834","115.4"
"100","9087","115.42"
"101","11650","116.33"
"102","6982","117.48"
"103","11640","117.48"
"104","8359","117.87"
"105","10720","118.82"
"106","0528","119.45"
"107","8669","119.55"
"108","12157","120.14"
"109","9843","120.51"
"110","12205","121.05"
"111","11653","121.07"
"112","11308","121.69"
"113","12176","121.97"
"114","9864","125.95"
"115","11721","126.22"
"116","11349","126.56"
"117","8339","126.58"
"118","8493","126.9"
"119","9693","130.15"
"120","9250","130.42"
"121","10312","130.91"
"122","10267","130.95"
"123","7236","132.4"
"124","9828","132.51"
"125","11211","133.51"
"126","0518","134.55"
"127","9815","134.99"
"128","11194","137.28"
"129","0503","137.73"
"130","2842","137.92"
"131","9120","137.93"
"132","12158","138.89"
"133","11229","140.26"
"134","0511","140.63"
"135","11457","140.64"
"136","12171","140.99"
"137","10735","141.75"
"138","7942","141.98"
"139","12180","142.65"
"140","0505","142.67"
"141","11697","142.77"
"142","9051","143.34"
"143","6929","143.71"
"144","11529","144.21"
"145","0519","144.31"
"146","12140","144.49"
"147","9319","147.03"
"148","12141","147.99"
"149","9966","149.2"
"150","11656","149.75"
"151","9269","149.85"
"152","9825","150.11"
"153","11227","150.66"
"154","11644","151.85"
"155","10976","152.1"
"156","8742","152.19"
"157","11677","152.62"
"158","8242","153"
"159","12154","153.32"
"160","9427","153.61"
"161","10743","153.63"
"162","9866","153.87"
"163","10313","154.56"
"164","0523","155.45"
"165","10807","155.59"
"166","11758","155.63"
"167","12162","156.18"
"168","8252","156.25"
"169","11695","156.58"
"170","12188","157.13"
"171","10812","158.58"
"172","0527","158.64"
"173","8247","158.75"
"174","8268","159.66"
"175","10506","159.71"
"176","0504","159.78"
"177","10725","160.08"
"178","11267","161.26"
"179","9833","161.29"
"180","11347","162.86"
"181","0531","163.29"
"182","8376","163.53"
"183","11642","163.62"
"184","10527","164.41"
"185","8275","164.67"
"186","11658","165.05"
"187","11761","165.27"
"188","12206","166.8"
"189","10738","166.88"
"190","11174","166.97"
"191","10850","167.46"
"192","0512","167.53"
"193","7842","167.75"
"194","12187","168.16"
"195","11248","168.31"
"196","12179","169.28"
"197","11947","169.63"
"198","12239","170.03"
"199","10355","170.32"
"200","10699","171.1"
"201","11740","171.45"
"202","11722","171.63"
"203","7813","173.12"
"204","11785","173.37"
"205","11179","173.73"
"206","6789","173.75"
"207","11305","173.98"
"208","0522","174.44"
"209","12161","176"
"210","9464","176.5"
"211","8776","176.63"
"212","8934","176.81"
"213","11813","176.92"
"214","4923","177.06"
"215","8930","178.02"
"216","11754","178.07"
"217","10314","178.52"
"218","11757","178.76"
"219","0524","179.2"
"220","12159","179.84"
"221","11332","179.88"
"222","0506","180.33"
"223","0510","182.2"
"224","11225","182.22"
"225","8684","183.84"
"226","9307","184.58"
"227","5666","184.84"
"228","0516","185.11"
"229","11210","185.66"
"230","9439","185.89"
"231","0502","186.13"
"232","0530","186.13"
"233","11925","187.26"
"234","10769","188.5"
"235","7527","188.8"
