"","Id","Name","Position","Team"
"1","1096","Brunell, Mark","QB","NYJ"
"2","1214","Favre, Brett","QB","FA"
"3","1600","Floyd, Malcom","WR","SDC"
"4","1756","Collins, Kerry","QB","IND"
"5","1757","Collins, Todd","QB","FA"
"6","1795","Galloway, Joey","WR","FA"
"7","1846","Richardson, Tony","RB","FA"
"8","2705","Owens, Terrell","WR","FA*"
"9","2918","Gonzalez, Tony","TE","ATL"
"10","2938","Barber, Tiki","RB","FA"
"11","2986","Mason, Derrick","WR","FA"
"12","3196","Kitna, Jon","QB","DAL"
"13","3291","Manning, Peyton","QB","IND"
"14","3298","Taylor, Fred","RB","FA"
"15","3309","Moss, Randy","WR","FA*"
"16","3340","Batch, Charlie","QB","PIT"
"17","3353","Green, Ahman","RB","FA"
"18","3367","Ward, Hines","WR","PIT"
"19","3445","Hasselbeck, Matt","QB","TEN"
"20","3531","Bouman, Todd","QB","FA"
"21","3532","Delhomme, Jake","QB","HOU"
"22","3557","Sellers, Mike","RB","WAS"
"23","3866","McNabb, Donovan","QB","MIN"
"24","3868","James, Edgerrin","RB","FA"
"25","3869","Williams, Ricky","RB","BAL"
"26","3870","Holt, Torry","WR","FA"
"27","3875","Culpepper, Daunte","QB","FA"
"28","3906","Kelly, Reginald","TE","ATL"
"29","3908","Kleinsasser, Jim","TE","MIN"
"30","3910","Faulk, Kevin","RB","NEP"
"31","3969","Stokley, Brandon","WR","FA*"
"32","4043","Clark, Desmond","TE","FA"
"33","4077","Driver, Donald","WR","GBP"
"34","4103","Greisen, Chris","QB","DAL"
"35","4796","Leach, Mike","TE","ARI"
"36","4891","Vick, Michael","QB","PHI"
"37","4895","Tomlinson, LaDainian","RB","NYJ"
"38","4907","Moss, Santana","WR","WAS"
"39","4920","Bennett, Michael","RB","FA"
"40","4923","Wayne, Reggie","WR","IND"
"41","4924","Heap, Todd","TE","ARI"
"42","4925","Brees, Drew","QB","NOS"
"43","4928","Crumpler, Alge","TE","FA"
"44","4929","Ochocinco, Chad","WR","NEP"
"45","4946","Chambers, Chris","WR","FA"
"46","4974","Smith, Steve","WR","CAR"
"47","4984","Evans, Heath","RB","FA"
"48","5014","Rosenfels, Sage","QB","MIN"
"49","5020","Norris, Moran","RB","SFO"
"50","5027","Buckhalter, Correll","RB","FA"
"51","5036","Manumaleuna, Brandon","TE","FA"
"52","5065","Feeley, A.J.","QB","STL"
"53","5109","Martin, David","TE","FA"
"54","5116","Houshmandzadeh, T.J.","WR","OAK"
"55","5172","Rhodes, Dominic","RB","FA"
"56","5429","Garcia, Jeff","QB","HOU"
"57","5482","Warner, Kurt","QB","FA"
"58","5522","Finneran, Brian","WR","FA"
"59","5549","Zelenka, Joe","TE","ATL"
"60","5620","Volek, Billy","QB","SDC"
"61","5654","Lewis, Jamal","RB","FA"
"62","5656","Jones, Thomas","RB","KCC"
"63","5657","Burress, Plaxico","WR","NYJ"
"64","5667","Pennington, Chad","QB","FA"
"65","5676","Becht, Anthony","TE","KCC"
"66","5724","Redman, Chris","QB","ATL"
"67","5727","Coles, Laveranues","WR","FA"
"68","5805","Morris, Sammy","RB","DAL"
"69","5817","Bulger, Marc","QB","FA"
"70","5848","Brady, Tom","QB","NEP"
"71","5879","Jennings, Brian","TE","SFO"
"72","5950","Snow, Justin","TE","IND"
"73","6509","Carr, David","QB","NYG"
"74","6521","Stallworth, Donte'","WR","WAS"
"75","6522","Shockey, Jeremy","TE","CAR"
"76","6528","Walker, Javon","WR","FA"
"77","6529","Graham, Daniel","TE","TEN"
"78","6536","Stevens, Jerramy","TE","FA"
"79","6540","Ramsey, Patrick","QB","FA"
"80","6541","Gaffney, Jabar","WR","WAS"
"81","6555","Davis, Andre'","WR","FA"
"82","6559","Portis, Clinton","RB","FA"
"83","6562","Morris, Maurice","RB","DET"
"84","6564","Betts, Ladell","RB","FA"
"85","6570","Randle El, Antwaan","WR","FA"
"86","6571","Bryant, Antonio","WR","FA"
"87","6573","Branch, Deion","WR","NEP"
"88","6589","McCown, Josh","QB","CHI"
"89","6596","Baker, Chris","TE","FA"
"90","6599","Westbrook, Brian","RB","FA"
"91","6611","Peelle, Justin","TE","SFO"
"92","6616","Garrard, David","QB","FA"
"93","6622","McMichael, Randy","TE","SDC"
"94","6668","Royal, Robert","TE","FA"
"95","6694","O'Sullivan, J.T.","QB","FA"
"96","6704","Gilmore, John","TE","NOS"
"97","6715","Taylor, Chester","RB","ARI"
"98","6751","Massey, Chris","RB","CHI"
"99","6765","Cartwright, Rock","RB","OAK"
"100","6929","Palmer, Carson","QB","OAK"
"101","6931","Johnson, Andre","WR","HOU"
"102","6935","Leftwich, Byron","QB","PIT"
"103","6945","Johnson, Bryant","WR","HOU"
"104","6947","Boller, Kyle","QB","OAK"
"105","6950","Grossman, Rex","QB","WAS"
"106","6951","McGahee, Willis","RB","DEN"
"107","6952","Clark, Dallas","TE","IND"
"108","6955","Johnson, Larry","RB","FA"
"109","6982","Boldin, Anquan","WR","BAL"
"110","6989","Smith, L.J.","TE","FA"
"111","6993","Washington, Kelley","WR","FA"
"112","6997","Witten, Jason","TE","DAL"
"113","6999","Burleson, Nate","WR","DET"
"114","7002","Curtis, Kevin","WR","TEN"
"115","7019","Shiancoe, Visanthe","TE","MIN"
"116","7024","Fargas, Justin","RB","FA"
"117","7025","Simms, Chris","QB","FA"
"118","7038","Wallace, Seneca","QB","CLE"
"119","7052","Lloyd, Brandon","WR","STL"
"120","7055","Aiken, Sam","WR","FA"
"121","7062","Mughelli, Ovie","RB","ATL"
"122","7067","Wade, Bobby","WR","FA"
"123","7071","Gage, Justin","WR","FA"
"124","7084","Lee, Donald","TE","CIN"
"125","7091","St. Pierre, Brian","QB","FA"
"126","7125","Battle, Arnaz","WR","PIT"
"127","7183","Walter, Kevin","WR","HOU"
"128","7194","Hill, Shaun","QB","DET"
"129","7236","Gates, Antonio","TE","SDC"
"130","7239","Osgood, Kassim","WR","JAC"
"131","7260","Romo, Tony","QB","DAL"
"132","7279","Lewis, Greg","WR","FA"
"133","7291","Heller, Will","TE","DET"
"134","7383","Urban, Jerheme","WR","KCC"
"135","7391","Manning, Eli","QB","NYG"
"136","7393","Fitzgerald, Larry","WR","ARI"
"137","7394","Rivers, Philip","QB","SDC"
"138","7396","Winslow, Kellen","TE","TBB"
"139","7397","Williams, Roy","WR","CHI"
"140","7401","Roethlisberger, Ben","QB","PIT"
"141","7403","Evans, Lee","WR","BAL"
"142","7405","Clayton, Michael","WR","NYG"
"143","7412","Losman, J.P.","QB","MIA"
"144","7414","Jackson, Steven","RB","STL"
"145","7419","Jenkins, Michael","WR","MIN"
"146","7420","Jones, Kevin","RB","FA"
"147","7422","Watson, Ben","TE","CLE"
"148","7433","Jones, Julius","RB","FA"
"149","7440","Henderson, Devery","WR","NOS"
"150","7445","Jones, Greg","RB","JAC"
"151","7451","Wilson, Kris","TE","BAL"
"152","7452","Colbert, Keary","WR","FA"
"153","7458","Hartsock, Ben","TE","CAR"
"154","7468","Berrian, Bernard","WR","FA"
"155","7471","Cooley, Chris","TE","WAS"
"156","7480","Schaub, Matt","QB","HOU"
"157","7496","McCown, Luke","QB","JAC"
"158","7498","Cotchery, Jerricho","WR","PIT"
"159","7509","Moore, Mewelde","RB","PIT"
"160","7510","Wilford, Ernest","TE","FA"
"161","7544","Turner, Michael","RB","ATL"
"162","7546","Karney, Mike","RB","FA"
"163","7583","Sorgi, Jim","QB","FA"
"164","7606","Crayton, Patrick","WR","SDC"
"165","7610","Dugan, Jeff","RB","FA"
"166","7625","Ward, Derrick","RB","HOU"
"167","7647","Parker, Willie","RB","FA"
"168","7653","Welker, Wes","WR","NEP"
"169","7740","Graham, Earnest","RB","TBB"
"170","7742","Copper, Terrance","WR","KCC"
"171","7777","Leach, Vonta","RB","BAL"
"172","7787","Wright, Jason","RB","FA"
"173","7796","Polite, Lousaka","RB","NEP"
"174","7813","Smith, Alex","QB","SFO"
"175","7814","Brown, Ronnie","RB","PHI"
"176","7815","Edwards, Braylon","WR","FA"
"177","7816","Benson, Cedric","RB","CIN"
"178","7817","Williams, Carnell","RB","STL"
"179","7819","Williamson, Troy","WR","FA"
"180","7822","Williams, Mike","WR","SEA"
"181","7833","Jones, Matt","WR","FA"
"182","7834","Clayton, Mark","WR","STL"
"183","7836","Rodgers, Aaron","QB","GBP"
"184","7837","Campbell, Jason","QB","OAK"
"185","7839","White, Roddy","WR","ATL"
"186","7842","Miller, Heath","TE","PIT"
"187","7847","Brown, Reggie","WR","FA"
"188","7856","Arrington, J.J.","RB","FA"
"189","7867","Parrish, Roscoe","WR","BUF"
"190","7873","Jackson, Vincent","WR","SDC"
"191","7877","Gore, Frank","RB","SFO"
"192","7880","Roby, Courtney","WR","NOS"
"193","7883","Smith, Alex","TE","CLE"
"194","7889","Moats, Ryan","RB","FA"
"195","7918","Orton, Kyle","QB","KCC"
"196","7921","Barber, Marion","RB","CHI"
"197","7922","Jacobs, Brandon","RB","NYG"
"198","7942","Sproles, Darren","RB","NOS"
"199","7948","Williams, Roydell","WR","FA"
"200","7957","Orlovsky, Dan","QB","IND"
"201","7991","Scaife, Bo","TE","CIN"
"202","8010","Dreessen, Joel","TE","HOU"
"203","8025","Anderson, Derek","QB","CAR"
"204","8034","Broughton, Nehemiah","RB","FA"
"205","8042","Cassel, Matt","QB","KCC"
"206","8061","Bajema, Billy","TE","STL"
"207","8062","Fitzpatrick, Ryan","QB","BUF"
"208","8063","Hedgecock, Madison","RB","FA"
"209","8072","Cribbs, Josh","WR","CLE"
"210","8076","Weaver, Leonard","RB","FA"
