"","id","name","position","team"
"1","1600","Floyd, Malcom","WR","SDC"
"2","2705","Owens, Terrell","WR","FA"
"3","2918","Gonzalez, Tony","TE","ATL"
"4","3196","Kitna, Jon","QB","DAL"
"5","3291","Manning, Peyton","QB","DEN"
"6","3309","Moss, Randy","WR","FA"
"7","3340","Batch, Charlie","QB","PIT"
"8","3445","Hasselbeck, Matt","QB","IND"
"9","3969","Stokley, Brandon","WR","BAL"
"10","4077","Driver, Donald","WR","FA"
"11","4891","Vick, Michael","QB","PHI"
"12","4907","Moss, Santana","WR","WAS"
"13","4923","Wayne, Reggie","WR","IND"
"14","4924","Heap, Todd","TE","FA"
"15","4925","Brees, Drew","QB","NOS"
"16","4929","Johnson, Chad","WR","FA"
"17","4974","Smith, Steve","WR","CAR"
"18","5657","Burress, Plaxico","WR","PIT"
"19","5848","Brady, Tom","QB","NEP"
"20","5879","Jennings, Brian","TE","FA"
"21","6509","Carr, David","QB","FA"
"22","6521","Stallworth, Donte'","WR","FA"
"23","6529","Graham, Daniel","TE","FA"
"24","6541","Gaffney, Jabar","WR","FA"
"25","6573","Branch, Deion","WR","IND"
"26","6589","McCown, Josh","QB","CHI"
"27","6616","Garrard, David","QB","NYJ"
"28","6622","McMichael, Randy","TE","FA"
"29","6929","Palmer, Carson","QB","ARI"
"30","6931","Johnson, Andre","WR","HOU"
"31","6935","Leftwich, Byron","QB","PIT"
"32","6950","Grossman, Rex","QB","WAS"
"33","6951","McGahee, Willis","RB","CLE"
"34","6952","Clark, Dallas","TE","BAL"
"35","6982","Boldin, Anquan","WR","SFO"
"36","6997","Witten, Jason","TE","DAL"
"37","6999","Burleson, Nate","WR","DET"
"38","7019","Shiancoe, Visanthe","TE","FA"
"39","7038","Wallace, Seneca","QB","GBP"
"40","7052","Lloyd, Brandon","WR","FA"
"41","7183","Walter, Kevin","WR","TEN"
"42","7194","Hill, Shaun","QB","DET"
"43","7236","Gates, Antonio","TE","SDC"
"44","7239","Osgood, Kassim","WR","SFO"
"45","7260","Romo, Tony","QB","DAL"
"46","7291","Heller, Will","TE","FA"
"47","7391","Manning, Eli","QB","NYG"
"48","7393","Fitzgerald, Larry","WR","ARI"
"49","7394","Rivers, Philip","QB","SDC"
"50","7396","Winslow, Kellen","TE","NYJ"
"51","7401","Roethlisberger, Ben","QB","PIT"
"52","7414","Jackson, Steven","RB","ATL"
"53","7419","Jenkins, Michael","WR","FA"
"54","7422","Watson, Ben","TE","NOS"
"55","7440","Henderson, Devery","WR","FA"
"56","7445","Jones, Greg","RB","HOU"
"57","7458","Hartsock, Ben","TE","CAR"
"58","7471","Cooley, Chris","TE","FA"
"59","7480","Schaub, Matt","QB","HOU"
"60","7496","McCown, Luke","QB","NOS"
"61","7498","Cotchery, Jerricho","WR","PIT"
"62","7509","Moore, Mewelde","RB","FA"
"63","7544","Turner, Michael","RB","FA"
"64","7653","Welker, Wes","WR","DEN"
"65","7742","Copper, Terrance","WR","FA"
"66","7777","Leach, Vonta","RB","BAL"
"67","7813","Smith, Alex","QB","KCC"
"68","7814","Brown, Ronnie","RB","SDC"
"69","7815","Edwards, Braylon","WR","FA"
"70","7816","Benson, Cedric","RB","FA"
"71","7836","Rodgers, Aaron","QB","GBP"
"72","7837","Campbell, Jason","QB","CLE"
"73","7839","White, Roddy","WR","ATL"
"74","7842","Miller, Heath","TE","PIT"
"75","7867","Parrish, Roscoe","WR","FA"
"76","7873","Jackson, Vincent","WR","TBB"
"77","7877","Gore, Frank","RB","SFO"
"78","7880","Roby, Courtney","WR","FA"
"79","7883","Smith, Alex","TE","CIN"
"80","7918","Orton, Kyle","QB","DAL"
"81","7922","Jacobs, Brandon","RB","FA"
"82","7942","Sproles, Darren","RB","NOS"
"83","7957","Orlovsky, Dan","QB","TBB"
"84","8010","Dreessen, Joel","TE","DEN"
"85","8025","Anderson, Derek","QB","CAR"
"86","8042","Cassel, Matt","QB","MIN"
"87","8061","Bajema, Billy","TE","BAL"
"88","8062","Fitzpatrick, Ryan","QB","TEN"
"89","8072","Cribbs, Josh","WR","NYJ"
"90","8117","Washington, Nate","WR","TEN"
"91","8139","McIntyre, Corey","RB","FA"
"92","8178","Moore, Lance","WR","NOS"
"93","8243","Bush, Reggie","RB","DET"
"94","8244","Young, Vince","QB","FA"
"95","8247","Davis, Vernon","TE","SFO"
"96","8251","Leinart, Matt","QB","FA"
"97","8252","Cutler, Jay","QB","CHI"
"98","8266","Holmes, Santonio","WR","NYJ"
"99","8268","Williams, DeAngelo","RB","CAR"
"100","8269","Lewis, Marcedes","TE","JAC"
"101","8290","Clemens, Kellen","QB","STL"
"102","8293","Jennings, Greg","WR","MIN"
"103","8294","Fasano, Anthony","TE","KCC"
"104","8298","Hester, Devin","WR","CHI"
"105","8301","Jones-Drew, Maurice","RB","JAC"
"106","8302","Scheffler, Tony","TE","FA"
"107","8305","Jackson, Tarvaris","QB","SEA"
"108","8313","Pope, Leonard","TE","FA"
"109","8322","Whitehurst, Charlie","QB","SDC"
"110","8323","Hagan, Derek","WR","FA"
"111","8327","Thomas, Dave","TE","FA"
"112","8331","Stovall, Maurice","WR","FA"
"113","8339","Daniels, Owen","TE","HOU"
"114","8341","Robinson, Michael","RB","SEA"
"115","8344","Smith, Brad","WR","PHI"
"116","8350","Avant, Jason","WR","PHI"
"117","8358","Washington, Leon","RB","TEN"
"118","8360","Marshall, Brandon","WR","CHI"
"119","8371","Hixon, Domenik","WR","CAR"
"120","8396","King, Jeff","TE","ARI"
"121","8416","Walker, Delanie","TE","TEN"
"122","8421","Vickers, Lawrence","RB","FA"
"123","8435","Gradkowski, Bruce","QB","PIT"
"124","8474","Aromashodu, Devin","WR","FA"
"125","8490","Obomanu, Ben","WR","FA"
"126","8493","Colston, Marques","WR","NOS"
"127","8510","Austin, Miles","WR","DAL"
"128","8517","Martin, Ruvell","WR","FA"
"129","8532","Fells, Daniel","TE","NYG"
"130","8549","Owens, Montell","RB","DET"
"131","8559","Camarillo, Greg","WR","FA"
"132","8590","Kuhn, John","RB","GBP"
"133","8641","Spurlock, Micheal","WR","DET"
"134","8656","Russell, JaMarcus","QB","FA"
"135","8657","Johnson, Calvin","WR","DET"
"136","8658","Peterson, Adrian","RB","MIN"
"137","8659","Quinn, Brady","QB","STL"
"138","8667","Bowe, Dwayne","WR","KCC"
"139","8670","Lynch, Marshawn","RB","SEA"
"140","8673","Ginn Jr., Ted","WR","CAR"
"141","8679","Rice, Sidney","WR","SEA"
"142","8680","Meachem, Robert","WR","NOS"
"143","8683","Miller, Zach","TE","SEA"
"144","8685","Bush, Michael","RB","CHI"
"145","8687","Olsen, Greg","TE","CAR"
"146","8702","Smith, Steve","WR","FA"
"147","8707","Edwards, Trent","QB","OAK"
"148","8709","Leonard, Brian","RB","TBB"
"149","8712","Stanton, Drew","QB","ARI"
"150","8723","Booker, Lorenzo","RB","FA"
"151","8735","Chandler, Scott","TE","BUF"
"152","8736","Spaeth, Matt","TE","PIT"
