,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt?,DKPt,FDPt,VBD,PosRank,OvRank
1,Aaron Rodgers*+\RodgAa00,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,399,406.9,398.4,171,1,1
2,Drew Brees*\BreeDr00,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.1,1,0,0,0,,0,396,412.1,408.6,167,2,2
3,Cam Newton*\NewtCa00,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.6,14,1,1,27,27,0,375,394.8,385.8,147,3,5
4,Tom Brady*\BradTo00,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,370,385.3,376.3,142,4,7
5,Matthew Stafford\StafMa00,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,347,361.8,356.3,119,5,9
6,Ray Rice*\RiceRa00,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,301,381.8,336.8,152,1,3
7,Eli Manning*\MannEl00,NYG,QB,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,,0,289,303.8,296.8,60,6,21
8,LeSean McCoy*+\McCoLe01,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,282,335.9,305.4,134,2,8
9,Tony Romo\RomoTo00,DAL,QB,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,,0,282,291.5,285,53,7,24
10,Matt Ryan\RyanMa00,ATL,QB,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,,0,281,292,286.5,53,8,25
11,Calvin Johnson*+\JohnCa00,DET,WR,26,16,16,0,0,0,0,0,1,11,11,0,158,96,1681,17.51,16,267,363.7,312.2,148,1,4
